Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,103.300003,104.370003,103.070000,103.949997,93.692451,4351400
2015-05-19,104.330002,104.360001,103.610001,104.019997,93.755562,4913800
2015-05-20,103.680000,103.989998,102.150002,103.279999,93.088577,7409500
2015-05-21,102.989998,105.650002,102.620003,104.959999,94.602806,5942600
2015-05-22,104.570000,104.800003,104.040001,104.199997,93.917786,4025300
2015-05-26,103.550003,104.180000,102.349998,102.900002,92.746071,4894700
2015-05-27,102.529999,103.180000,102.199997,102.620003,92.990738,4014800
2015-05-28,102.480003,102.889999,100.820000,101.360001,91.848976,6638600
2015-05-29,101.080002,101.459999,99.870003,100.910004,91.441208,8491600
2015-06-01,101.160004,102.209999,100.430000,101.930000,92.365471,4578000
2015-06-02,102.070000,102.389999,101.250000,101.599998,92.066452,10335700
2015-06-03,101.820000,102.610001,101.169998,101.989998,92.419846,5650700
2015-06-04,101.080002,102.449997,101.080002,101.739998,92.193314,6278700
2015-06-05,101.800003,102.849998,101.500000,102.279999,92.682632,5145300
2015-06-08,102.129997,102.199997,100.459999,100.709999,91.259956,4904700
2015-06-09,100.419998,100.940002,99.470001,99.699997,90.344734,5618000
2015-06-10,100.000000,100.190002,99.309998,99.669998,90.317543,9531500
2015-06-11,100.110001,101.360001,99.809998,100.919998,91.450256,5895900
2015-06-12,100.339996,101.500000,100.000000,100.500000,91.069664,3972600
2015-06-15,99.839996,101.050003,99.839996,100.519997,91.087776,3077300
2015-06-16,100.400002,101.019997,100.160004,100.519997,91.087776,3637500
2015-06-17,100.879997,101.519997,100.099998,101.180000,91.685860,4054700
2015-06-18,101.480003,102.830002,101.279999,102.309998,92.709824,4512300
2015-06-19,101.919998,102.360001,101.000000,101.160004,91.667732,6236100
2015-06-22,101.669998,102.010002,101.199997,101.440002,91.921478,3751800
2015-06-23,102.269997,102.739998,101.089996,101.150002,91.658669,3958800
2015-06-24,100.709999,100.849998,98.089996,98.250000,89.030792,5628700
2015-06-25,98.690002,98.690002,96.970001,96.970001,87.870903,4567400
2015-06-26,97.470001,98.209999,96.660004,96.769997,87.689674,7650400
2015-06-29,95.989998,96.970001,95.489998,95.529999,86.566025,5682000
2015-06-30,96.379997,96.480003,94.910004,95.370003,86.421028,6388200
2015-07-01,96.339996,96.720001,95.730003,96.160004,87.136894,3770200
2015-07-02,96.290001,96.930000,96.279999,96.660004,87.589989,3290900
2015-07-06,96.389999,97.589996,96.029999,96.239998,87.209396,4840200
2015-07-07,96.620003,97.910004,95.410004,97.739998,88.568649,5250000
2015-07-08,96.980003,97.260002,95.629997,95.849998,86.855988,5455300
2015-07-09,96.800003,97.209999,96.110001,96.250000,87.218460,4284900
2015-07-10,97.120003,98.150002,97.059998,97.820000,88.641144,4236000
2015-07-13,98.699997,98.699997,96.910004,97.080002,87.970558,4311000
2015-07-14,97.040001,97.510002,96.370003,96.790001,87.707809,5793500
2015-07-15,97.379997,98.400002,96.769997,96.980003,87.879967,4567000
2015-07-16,97.470001,97.879997,95.589996,96.040001,87.028152,4501300
2015-07-17,96.139999,97.809998,96.000000,97.419998,88.278671,5176400
2015-07-20,97.580002,99.059998,97.570000,98.309998,89.085152,4525500
2015-07-21,98.550003,99.709999,98.459999,98.820000,89.547302,5072600
2015-07-22,98.860001,99.529999,97.639999,97.680000,88.514282,4581500
2015-07-23,95.650002,96.260002,91.230003,92.120003,83.475990,13653100
2015-07-24,92.550003,94.220001,91.629997,92.610001,83.920021,8015100
2015-07-27,91.680000,92.599998,91.519997,92.389999,83.720650,5857300
2015-07-28,93.129997,97.019997,93.089996,96.620003,87.553741,7542900
2015-07-29,96.410004,98.730003,95.870003,98.529999,89.284523,6109200
2015-07-30,97.849998,98.050003,97.150002,97.699997,88.532402,4527100
2015-07-31,97.690002,98.260002,97.220001,97.589996,88.432716,3925000
2015-08-03,97.559998,97.690002,95.959999,96.470001,87.417831,4137500
2015-08-04,96.199997,96.790001,94.970001,95.720001,86.738190,6053500
2015-08-05,96.400002,96.980003,94.980003,95.070000,86.149170,4631000
2015-08-06,95.180000,95.260002,93.629997,93.800003,84.998344,5661200
2015-08-07,93.550003,93.849998,92.410004,92.500000,83.820335,3542100
2015-08-10,93.050003,93.870003,93.050003,93.480003,84.708366,4878800
2015-08-11,92.750000,93.169998,92.010002,92.309998,83.648163,3962200
2015-08-12,91.610001,93.080002,91.260002,92.820000,84.110306,3800200
2015-08-13,92.639999,93.029999,92.120003,92.699997,84.001572,3017300
2015-08-14,92.320000,93.080002,92.320000,92.739998,84.037796,2274800
2015-08-17,92.459999,92.959999,92.010002,92.739998,84.037796,2777400
2015-08-18,92.660004,92.889999,92.379997,92.779999,84.074066,3853400
2015-08-19,92.250000,93.089996,91.879997,92.160004,83.512238,3900400
2015-08-20,90.620003,90.849998,89.320000,89.320000,80.938721,8294300
2015-08-21,88.360001,88.889999,86.410004,86.449997,78.338028,9589500
2015-08-24,81.180000,85.190002,79.309998,82.660004,74.903664,10316400
2015-08-25,85.199997,85.250000,80.510002,80.559998,73.000717,9192100
2015-08-26,82.629997,84.309998,81.730003,83.550003,75.710159,12302500
2015-08-27,84.349998,86.330002,84.139999,86.279999,78.702080,10741600
2015-08-28,86.099998,87.190002,86.010002,86.889999,79.258484,5654100
2015-08-31,86.900002,87.080002,85.730003,85.739998,78.209496,5335200
2015-09-01,83.629997,84.500000,83.000000,83.379997,76.056770,5579900
2015-09-02,84.360001,85.120003,83.160004,85.110001,77.634842,6914800
2015-09-03,85.940002,86.370003,85.489998,85.699997,78.173004,6073800
2015-09-04,85.000000,85.750000,84.449997,84.779999,77.333809,5643400
2015-09-08,87.000000,88.029999,86.500000,87.860001,80.143288,8128400
2015-09-09,88.349998,89.070000,86.769997,86.949997,79.313232,5125100
2015-09-10,86.900002,87.580002,86.500000,87.099998,79.450035,4141900
2015-09-11,87.080002,87.080002,85.739998,86.120003,78.556129,5094200
2015-09-14,86.519997,86.519997,85.529999,85.730003,78.200378,4478200
2015-09-15,86.180000,88.190002,85.940002,87.980003,80.252777,5066400
2015-09-16,87.919998,90.160004,87.900002,89.790001,81.903793,5988000
2015-09-17,89.330002,91.160004,89.309998,89.720001,81.839935,4501900
2015-09-18,88.599998,89.059998,87.580002,87.779999,80.070335,7337800
2015-09-21,87.970001,89.339996,87.660004,88.250000,80.499039,4682100
2015-09-22,86.970001,87.059998,85.639999,86.669998,79.057823,4766800
2015-09-23,86.400002,87.040001,85.489998,85.680000,78.154778,3441500
2015-09-24,84.769997,85.209999,83.870003,84.830002,77.379425,5545900
2015-09-25,86.250000,87.320000,85.580002,86.589996,78.984840,5357100
2015-09-28,85.680000,86.660004,84.849998,84.970001,77.507126,5439700
2015-09-29,85.239998,86.650002,84.940002,86.550003,78.948364,4936600
2015-09-30,87.900002,88.529999,86.989998,88.410004,80.645004,5187900
2015-10-01,89.239998,90.639999,89.110001,90.400002,82.460220,6921000
2015-10-02,88.750000,91.930000,88.559998,91.900002,83.828476,5341700
2015-10-05,91.730003,94.089996,91.620003,93.709999,85.479477,5263000
2015-10-06,93.809998,94.089996,93.160004,93.389999,85.187607,3811000
2015-10-07,94.209999,96.250000,93.750000,95.110001,86.756538,4270600
2015-10-08,94.570000,97.290001,94.489998,97.050003,88.526146,4140700
2015-10-09,97.750000,98.279999,96.169998,97.040001,88.517021,4439200
2015-10-12,96.760002,97.000000,94.199997,95.260002,86.893379,5480200
2015-10-13,94.440002,95.250000,93.750000,93.800003,85.561600,3549600
2015-10-14,93.440002,93.750000,92.599998,92.910004,84.749771,5326500
2015-10-15,93.669998,94.529999,93.000000,94.260002,85.981201,3276300
2015-10-16,94.629997,94.730003,92.550003,92.940002,84.777145,4585800
2015-10-19,92.559998,92.790001,91.550003,92.709999,84.567329,3991800
2015-10-20,92.709999,94.230003,92.139999,93.739998,85.506851,3290400
2015-10-21,94.300003,94.879997,93.190002,93.410004,85.205864,4248400
2015-10-22,96.510002,97.570000,95.540001,97.010002,88.489662,6998900
2015-10-23,97.419998,98.260002,96.160004,96.919998,88.407562,4949100
2015-10-26,96.620003,97.190002,95.010002,95.169998,86.811279,4680600
2015-10-27,94.199997,94.199997,90.220001,90.239998,82.314262,9808700
2015-10-28,90.750000,91.389999,89.139999,90.099998,82.186562,7342900
2015-10-29,90.029999,91.510002,89.760002,90.519997,82.569672,5274600
2015-10-30,90.870003,91.169998,89.190002,89.349998,81.502426,5603400
2015-11-02,89.360001,89.760002,88.580002,89.099998,81.274384,5365600
2015-11-03,88.959999,89.339996,88.480003,88.699997,80.909523,4957900
2015-11-04,89.199997,89.440002,87.849998,88.190002,80.444321,4714700
2015-11-05,88.290001,88.510002,87.000000,87.209999,79.550385,6426300
2015-11-06,87.000000,87.209999,85.470001,85.980003,78.428429,6826500
2015-11-09,85.730003,89.099998,83.989998,86.169998,78.601738,9109000
2015-11-10,85.669998,86.309998,84.500000,84.839996,77.388542,5487300
2015-11-11,85.480003,85.480003,84.110001,84.370003,76.959831,4699000
2015-11-12,83.830002,84.809998,83.150002,83.949997,76.576706,5392800
2015-11-13,83.550003,85.089996,83.519997,83.779999,76.421646,4648100
2015-11-16,83.589996,84.570000,83.099998,84.349998,76.941582,3601900
2015-11-17,84.370003,85.949997,83.120003,85.099998,77.625710,5275300
2015-11-18,85.739998,87.750000,85.620003,87.110001,79.459167,5386900
2015-11-19,87.080002,87.230003,85.949997,87.040001,79.395317,6145500
2015-11-20,87.519997,88.050003,86.500000,86.739998,79.121674,4401100
2015-11-23,86.860001,87.480003,84.910004,85.110001,77.634842,4723200
2015-11-24,84.930000,85.290001,84.629997,84.800003,77.352058,5125400
2015-11-25,84.430000,84.949997,84.269997,84.629997,77.700943,3518000
2015-11-27,84.650002,84.959999,84.459999,84.500000,77.581581,2120100
2015-11-30,84.839996,84.949997,83.940002,83.949997,77.076622,6441200
2015-12-01,83.949997,85.000000,83.120003,84.400002,77.489777,5399500
2015-12-02,84.190002,84.370003,81.680000,82.080002,75.359726,7544400
2015-12-03,82.139999,82.300003,78.760002,79.199997,72.715530,11254200
2015-12-04,77.370003,78.629997,77.029999,78.309998,71.898392,11007100
2015-12-07,78.150002,78.620003,76.699997,77.290001,70.961906,9414300
2015-12-08,76.339996,76.690002,74.779999,75.599998,69.410255,8115300
2015-12-09,75.029999,77.800003,74.940002,77.540001,71.191437,9972300
2015-12-10,77.540001,78.620003,77.309998,77.449997,71.108795,6323300
2015-12-11,77.449997,77.949997,76.379997,77.279999,70.952728,6100400
2015-12-14,77.500000,77.970001,76.419998,76.879997,70.585464,7477500
2015-12-15,77.570000,77.739998,76.120003,76.410004,70.153961,7790300
2015-12-16,77.099998,79.019997,76.839996,78.910004,72.449280,5763800
2015-12-17,78.720001,79.489998,77.300003,77.330002,70.998627,5890900
2015-12-18,76.820000,76.830002,75.279999,75.430000,69.254189,10160000
2015-12-21,75.989998,76.430000,75.019997,75.489998,69.309288,5247900
2015-12-22,76.059998,77.589996,75.870003,77.059998,70.750725,5702600
2015-12-23,77.839996,79.129997,77.570000,78.769997,72.320724,6148700
2015-12-24,78.790001,79.099998,78.500000,78.800003,72.348274,2327500
2015-12-28,78.489998,78.730003,77.940002,78.339996,71.925926,3958400
2015-12-29,78.599998,79.050003,78.110001,78.970001,72.504356,3505600
2015-12-30,78.660004,78.779999,78.160004,78.510002,72.082024,3685500
2015-12-31,77.730003,79.150002,77.570000,78.199997,71.797394,3754600
2016-01-04,76.870003,79.040001,76.129997,78.970001,72.504356,6902600
2016-01-05,79.010002,79.339996,77.300003,78.209999,71.806580,6117300
2016-01-06,76.750000,77.190002,74.239998,74.830002,68.703323,8125200
2016-01-07,73.389999,74.190002,72.419998,73.080002,67.096588,9077600
2016-01-08,73.559998,74.379997,73.199997,73.860001,67.812729,7567700
2016-01-11,74.360001,75.050003,73.629997,74.809998,68.684952,7759500
2016-01-12,75.510002,76.459999,74.379997,76.269997,70.025414,6985600
2016-01-13,76.199997,76.839996,73.209999,73.849998,67.803543,8618400
2016-01-14,73.860001,76.599998,73.699997,75.419998,69.245018,7457600
2016-01-15,72.839996,74.269997,72.629997,74.110001,68.042274,7460000
2016-01-19,74.989998,75.160004,73.269997,74.099998,68.033073,7470100
2016-01-20,72.680000,74.150002,71.570000,73.610001,67.583183,10549900
2016-01-21,69.500000,71.730003,67.059998,71.000000,65.186905,19539900
2016-01-22,71.339996,72.349998,68.430000,69.989998,64.259583,15358600
2016-01-25,69.660004,69.769997,68.660004,68.790001,63.157829,7171400
2016-01-26,69.339996,70.470001,69.110001,70.040001,64.305504,6707200
2016-01-27,70.000000,70.970001,68.720001,69.059998,63.405727,6202400
2016-01-28,69.849998,70.309998,68.720001,70.160004,64.415680,6741300
2016-01-29,70.500000,72.029999,70.169998,72.000000,66.105011,6920500
2016-02-01,70.900002,73.559998,70.349998,73.089996,67.105766,8402900
2016-02-02,73.260002,73.360001,71.169998,71.709999,65.838768,8607400
2016-02-03,71.989998,72.389999,70.540001,72.260002,66.343742,6501200
2016-02-04,72.019997,76.419998,72.019997,75.519997,69.336815,7239100
2016-02-05,75.209999,76.010002,74.199997,75.029999,68.886932,5768200
2016-02-08,74.480003,76.559998,73.459999,76.029999,69.805069,7602400
2016-02-09,75.099998,77.849998,75.000000,77.120003,70.805824,7216800
2016-02-10,78.019997,78.620003,76.339996,76.940002,70.640556,6259900
2016-02-11,75.730003,76.309998,73.589996,75.540001,69.355179,6715200
2016-02-12,77.330002,78.339996,76.250000,77.199997,70.879265,5716400
2016-02-16,78.000000,80.269997,76.900002,79.370003,72.871613,6640000
2016-02-17,78.720001,80.500000,78.470001,79.959999,73.413292,6308000
2016-02-18,79.760002,80.129997,78.180000,78.660004,72.219742,5578000
2016-02-19,78.519997,80.000000,78.000000,79.900002,73.358215,4793200
2016-02-22,79.900002,82.260002,79.900002,81.610001,74.928200,5448300
2016-02-23,80.500000,81.050003,78.790001,78.949997,72.485992,4966300
2016-02-24,78.019997,80.290001,77.070000,80.089996,73.532654,4800500
2016-02-25,79.500000,80.349998,78.529999,79.320000,73.329285,3239400
2016-02-26,80.089996,81.260002,79.790001,80.000000,73.957924,3836900
2016-02-29,79.809998,79.980003,78.750000,78.860001,72.904022,5358600
2016-03-01,79.699997,80.919998,79.139999,80.120003,74.068855,5909800
2016-03-02,80.239998,80.830002,79.250000,79.500000,73.495674,5610200
2016-03-03,79.860001,80.550003,79.080002,80.010002,73.967163,5159200
2016-03-04,80.220001,81.449997,79.989998,80.500000,74.420151,6414000
2016-03-07,80.029999,81.570000,79.750000,81.449997,75.298401,6547800
2016-03-08,80.639999,81.059998,78.150002,78.250000,72.340088,5925100
2016-03-09,78.900002,80.199997,78.669998,80.139999,74.087357,6028500
2016-03-10,80.589996,80.680000,78.559998,79.379997,73.384735,3949600
2016-03-11,80.180000,81.379997,79.910004,81.260002,75.122749,3735000
2016-03-14,80.699997,81.470001,80.150002,80.349998,74.281479,4365100
2016-03-15,79.620003,80.150002,78.629997,80.150002,74.096588,4676600
2016-03-16,80.139999,80.790001,79.370003,80.309998,74.244492,3225700
2016-03-17,80.709999,83.269997,79.610001,83.080002,76.805290,4969800
2016-03-18,83.449997,85.300003,83.269997,84.419998,78.044083,8389400
2016-03-21,84.389999,84.980003,83.470001,83.980003,77.637321,3872600
2016-03-22,83.050003,83.269997,81.709999,82.059998,75.862320,5142000
2016-03-23,82.129997,82.349998,81.389999,81.519997,75.363098,4268400
2016-03-24,80.779999,81.269997,80.040001,80.919998,74.808434,4212500
2016-03-28,80.750000,80.919998,78.470001,78.809998,72.857788,6327000
2016-03-29,78.410004,79.989998,77.800003,79.800003,73.773041,4338900
2016-03-30,80.400002,81.449997,80.169998,80.559998,74.475616,3145900
2016-03-31,80.290001,80.709999,78.540001,79.550003,73.541901,5116800
2016-04-01,78.820000,79.419998,78.029999,78.919998,72.959473,4232900
2016-04-04,78.720001,80.019997,78.169998,78.339996,72.423286,3464800
2016-04-05,77.550003,78.980003,77.290001,78.620003,72.682137,3614300
2016-04-06,78.349998,78.529999,77.370003,78.349998,72.432533,4343100
2016-04-07,77.959999,78.669998,77.419998,78.000000,72.108963,4246100
2016-04-08,78.660004,80.580002,78.320000,79.169998,73.190598,4211200
2016-04-11,79.139999,80.510002,78.580002,78.690002,72.746857,4109600
2016-04-12,78.330002,80.260002,78.190002,79.639999,73.625107,4610900
2016-04-13,80.669998,82.150002,80.169998,81.720001,75.548019,4502000
