Date,Open,High,Low,Close,Adj Close,Volume
2015-03-02,161.940002,161.940002,159.809998,160.479996,131.763123,5917900
2015-03-03,160.270004,161.750000,160.000000,161.029999,132.214706,3234400
2015-03-04,160.539993,160.559998,158.720001,159.419998,130.892807,3633600
2015-03-05,159.860001,161.500000,159.699997,161.179993,132.337845,3791700
2015-03-06,160.190002,161.440002,158.059998,158.500000,130.137436,4540200
2015-03-09,158.199997,161.149994,158.199997,160.770004,132.001221,5193900
2015-03-10,159.600006,160.229996,157.809998,157.809998,129.570908,4601000
2015-03-11,158.570007,159.139999,155.940002,156.800003,128.741623,5709900
2015-03-12,156.270004,158.720001,156.270004,157.979996,129.710480,4567300
2015-03-13,157.460007,157.520004,153.399994,154.279999,126.672592,6064100
2015-03-16,155.050003,157.089996,154.800003,157.080002,128.971527,3749600
2015-03-17,156.199997,157.289993,155.369995,156.960007,128.873016,3311700
2015-03-18,156.850006,160.699997,155.800003,159.809998,131.213028,5738800
2015-03-19,159.699997,160.919998,158.809998,159.809998,131.213028,3878600
2015-03-20,160.949997,163.000000,160.350006,162.880005,133.733688,9006400
2015-03-23,162.770004,165.350006,162.729996,164.630005,135.170532,5930100
2015-03-24,164.789993,164.889999,162.899994,163.000000,133.832153,4346100
2015-03-25,163.080002,163.080002,159.199997,159.199997,130.712143,5428900
2015-03-26,159.270004,161.250000,158.910004,160.589996,131.853409,4396000
2015-03-27,160.789993,160.899994,159.229996,160.399994,131.697449,3477900
2015-03-30,161.309998,163.600006,161.250000,162.669998,133.561218,4138000
2015-03-31,161.080002,162.330002,160.399994,160.500000,131.779541,4255400
2015-04-01,160.229996,160.619995,158.389999,159.179993,130.695740,3700800
2015-04-02,159.520004,162.539993,158.889999,160.449997,131.738510,4671600
2015-04-06,159.690002,162.800003,158.699997,162.039993,133.043976,3465700
2015-04-07,161.669998,163.839996,161.619995,162.070007,133.068573,3148000
2015-04-08,161.720001,163.550003,161.009995,161.850006,132.887985,2524300
